iter	Logloss
0	0.6828939906
1	0.6739279925
2	0.6660295145
3	0.6593441343
4	0.653060817
5	0.6477388628
6	0.642812871
7	0.6388642728
8	0.6350830449
9	0.6319347899
10	0.6292401952
11	0.6268109052
12	0.6243390649
13	0.6223255559
14	0.6204637837
15	0.6187932427
16	0.6171314146
17	0.6155639724
18	0.6140553199
19	0.6126978389
20	0.6114855163
21	0.6103201949
22	0.6094021478
23	0.6084495402
24	0.6074176194
25	0.6065575012
26	0.6058009843
27	0.6051257571
28	0.6045131335
29	0.6037457659
30	0.6031371367
31	0.6025166562
32	0.6019480467
33	0.6013757296
34	0.6008924832
35	0.6003150017
36	0.599876732
37	0.5992933205
38	0.5987799484
39	0.5983070958
40	0.5979100164
41	0.5973683719
42	0.5969140797
43	0.5964416996
44	0.595963537
45	0.5955991307
46	0.5953212326
47	0.5949952166
48	0.5946392798
49	0.5942920766
50	0.5938737702
51	0.5935306931
52	0.5931717378
53	0.5927851112
54	0.5924887301
55	0.592249636
56	0.5919680617
57	0.5917395313
58	0.5915011054
59	0.5912675717
60	0.5909491837
61	0.5907250187
62	0.5904899565
63	0.5902886279
64	0.5900126254
65	0.5898055344
66	0.5896001315
67	0.589383316
68	0.5891760637
69	0.5889323887
70	0.5887665568
71	0.588626901
72	0.5884717376
73	0.5882812013
74	0.5881184589
75	0.5879643859
76	0.5878026399
77	0.5876570278
78	0.5875357757
79	0.5873971158
80	0.5871646398
81	0.5869622606
82	0.5868314379
83	0.5866515463
84	0.5865005776
85	0.5863739079
86	0.5862108137
87	0.5860711726
88	0.5859183698
89	0.5857734358
90	0.5856660587
91	0.5855412479
92	0.5853539535
93	0.5852668586
94	0.5851815624
95	0.5851127485
96	0.5849838376
97	0.5848591123
98	0.584695653
99	0.5844868078
100	0.584345858
101	0.5842170756
102	0.5840955057
103	0.5839878827
104	0.5838473235
105	0.5837562468
106	0.5836614192
107	0.5835600384
108	0.5834203767
109	0.5832593328
110	0.5831172399
111	0.5830264277
112	0.5829092784
113	0.5827828218
114	0.5826818515
115	0.5825633089
116	0.5824206911
117	0.5823190775
118	0.5821587761
119	0.5820936846
120	0.5820183267
121	0.581880027
122	0.5817719856
123	0.5815592148
124	0.5814542421
125	0.5813964778
126	0.5813201831
127	0.5811941841
128	0.5810972827
129	0.5810112703
130	0.5808380431
131	0.5807443335
132	0.5806609598
133	0.5805846877
134	0.5804972136
135	0.5803730984
136	0.5801873598
137	0.5800663257
