iter	Passed	Remaining
0	203	152516
1	248	92766
2	296	73640
3	341	63611
4	390	58099
5	436	54076
6	482	51117
7	529	49043
8	581	47849
9	626	46282
10	672	45131
11	726	44604
12	777	44014
13	828	43470
14	874	42799
15	916	42009
16	960	41371
17	1009	40995
18	1053	40462
19	1097	40010
20	1139	39506
21	1183	39113
22	1229	38794
23	1275	38540
24	1321	38261
25	1361	37872
26	1408	37660
27	1451	37370
28	1493	37082
29	1542	36957
30	1588	36783
31	1636	36659
32	1678	36419
33	1723	36234
34	1767	36056
35	1815	35955
36	1868	35961
37	1918	35889
38	1963	35752
39	2013	35688
40	2058	35543
41	2103	35416
42	2148	35281
43	2196	35189
44	2241	35062
45	2289	34992
46	2335	34883
47	2378	34738
48	2423	34628
49	2472	34564
50	2517	34461
51	2563	34354
52	2608	34254
53	2651	34127
54	2700	34070
55	2746	33985
56	2792	33900
57	2840	33839
58	2886	33756
59	2936	33716
60	2986	33684
61	3032	33600
62	3075	33489
63	3122	33425
64	3164	33303
65	3210	33228
66	3253	33120
67	3299	33042
68	3346	32982
69	3389	32877
70	3429	32753
71	3472	32655
72	3517	32571
73	3562	32499
74	3605	32401
75	3649	32315
76	3692	32224
77	3735	32135
78	3777	32036
79	3818	31930
80	3864	31869
81	3910	31807
82	3953	31723
83	4002	31683
84	4047	31618
85	4092	31550
86	4135	31466
87	4177	31377
88	4226	31340
89	4271	31274
90	4316	31208
91	4362	31155
92	4410	31112
93	4457	31062
94	4498	30970
95	4543	30905
96	4588	30841
97	4634	30784
98	4675	30700
99	4728	30685
100	4773	30629
101	4814	30537
102	4862	30494
103	4908	30440
104	4956	30400
105	5000	30332
106	5045	30274
107	5093	30232
108	5147	30225
109	5192	30165
110	5239	30117
111	5284	30058
112	5327	29985
113	5372	29924
114	5419	29878
115	5464	29817
116	5510	29763
117	5556	29715
118	5613	29716
119	5658	29660
120	5701	29593
121	5749	29549
122	5796	29500
123	5840	29440
124	5885	29381
125	5930	29323
126	5977	29277
127	6025	29233
128	6070	29175
129	6115	29121
130	6164	29083
131	6211	29033
132	6261	29000
133	6302	28927
134	6352	28890
135	6398	28839
136	6442	28778
137	6488	28725
138	6532	28666
139	6579	28622
140	6628	28582
141	6671	28518
142	6726	28506
143	6775	28466
144	6817	28399
145	6858	28327
146	6901	28264
147	6946	28207
148	6986	28132
149	7032	28082
150	7073	28011
151	7117	27954
152	7164	27907
153	7206	27845
154	7256	27807
155	7304	27766
156	7349	27712
157	7392	27650
158	7434	27588
159	7472	27509
160	7520	27467
161	7568	27424
162	7613	27371
163	7653	27300
164	7695	27237
165	7735	27167
166	7785	27133
167	7830	27081
168	7874	27025
169	7920	26977
170	7962	26914
171	8009	26868
172	8049	26801
173	8096	26754
174	8143	26709
175	8183	26643
176	8228	26590
177	8270	26531
178	8314	26475
179	8366	26447
180	8415	26409
181	8461	26361
182	8504	26303
183	8547	26247
184	8593	26198
185	8637	26145
186	8684	26100
187	8731	26053
188	8778	26009
189	8822	25957
190	8875	25928
191	8920	25878
192	8966	25829
193	9009	25775
194	9057	25731
195	9102	25681
196	9147	25630
197	9193	25584
198	9240	25540
199	9285	25489
200	9327	25431
201	9370	25375
202	9418	25331
203	9463	25281
204	9510	25236
205	9554	25184
206	9599	25135
207	9650	25100
208	9699	25061
209	9747	25019
210	9788	24959
211	9829	24897
212	9877	24855
213	9917	24793
214	9963	24746
215	10012	24705
216	10058	24660
217	10100	24602
218	10146	24554
219	10190	24503
220	10239	24462
221	10278	24400
222	10320	24342
223	10410	24398
224	10469	24382
225	10511	24326
226	10557	24277
227	10602	24227
228	10643	24168
229	10691	24126
230	10746	24097
231	10790	24045
232	10833	23992
233	10879	23943
234	10928	23903
235	10977	23861
236	11022	23812
237	11071	23770
238	11112	23712
239	11157	23663
240	11202	23614
241	11249	23567
242	11294	23518
243	11336	23461
244	11383	23417
245	11436	23385
246	11480	23333
247	11525	23283
248	11567	23227
249	11611	23177
250	11653	23122
251	11704	23083
252	11748	23032
253	11792	22981
254	11835	22927
255	11882	22883
256	11927	22834
257	11972	22785
258	12019	22739
259	12060	22682
260	12099	22623
261	12142	22570
262	12183	22514
263	12228	22465
264	12268	22407
265	12314	22360
266	12359	22312
267	12402	22258
268	12442	22201
269	12487	22153
270	12529	22099
271	12576	22055
272	12616	21997
273	12667	21959
274	12713	21914
275	12759	21866
276	12804	21818
277	12852	21774
278	12899	21729
279	12940	21674
280	12982	21621
281	13026	21571
282	13080	21539
283	13128	21496
284	13171	21444
285	13212	21389
286	13258	21343
287	13304	21295
288	13345	21241
289	13396	21204
290	13438	21150
291	13479	21096
292	13526	21051
293	13568	20999
294	13613	20951
295	13659	20904
296	13702	20853
297	13748	20806
298	13791	20756
299	13837	20709
300	13878	20656
301	13925	20611
302	13972	20566
303	14014	20514
304	14060	20467
305	14113	20432
306	14158	20384
307	14200	20332
308	14246	20285
309	14290	20236
310	14334	20188
311	14379	20140
312	14421	20088
313	14466	20040
314	14511	19993
315	14552	19940
316	14593	19887
317	14641	19843
318	14685	19795
319	14734	19753
320	14782	19710
321	14824	19658
322	14865	19606
323	14917	19567
324	14962	19519
325	15003	19468
326	15049	19421
327	15092	19372
328	15137	19325
329	15183	19277
330	15225	19227
331	15269	19179
332	15320	19138
333	15366	19093
334	15410	19044
335	15452	18993
336	15491	18939
337	15533	18887
338	15574	18836
339	15613	18782
340	15657	18734
341	15699	18683
342	15741	18632
343	15788	18588
344	15832	18540
345	15881	18497
346	15922	18445
347	15965	18396
348	16009	18348
349	16049	18296
350	16096	18251
351	16139	18202
352	16187	18159
353	16227	18107
354	16272	18060
355	16312	18008
356	16359	17963
357	16408	17920
358	16456	17877
359	16499	17828
360	16544	17782
361	16590	17736
362	16637	17691
363	16685	17648
364	16737	17608
365	16782	17561
366	16830	17518
367	16877	17473
368	16922	17426
369	16971	17384
370	17023	17345
371	17069	17298
372	17120	17258
373	17173	17219
374	17221	17175
375	17270	17132
376	17321	17091
377	17369	17048
378	17414	17000
379	17472	16966
380	17520	16922
381	17567	16877
382	17614	16832
383	17662	16788
384	17704	16739
385	17747	16690
386	17791	16642
387	17834	16593
388	17876	16543
389	17914	16490
390	17957	16441
391	18002	16394
392	18043	16345
393	18094	16303
394	18142	16259
395	18185	16210
396	18234	16167
397	18278	16119
398	18319	16069
399	18358	16018
400	18402	15970
401	18443	15920
402	18486	15871
403	18532	15825
404	18573	15776
405	18620	15731
406	18669	15688
407	18716	15643
408	18757	15593
409	18798	15543
410	18839	15493
411	18883	15446
412	18930	15401
413	18973	15352
414	19016	15304
415	19060	15257
416	19110	15214
417	19151	15165
418	19200	15122
419	19243	15074
420	19287	15027
421	19328	14977
422	19376	14933
423	19423	14888
424	19469	14842
425	19517	14798
426	19556	14747
427	19598	14698
428	19646	14654
429	19698	14613
430	19743	14567
431	19791	14523
432	19836	14476
433	19884	14431
434	19926	14383
435	19966	14333
436	20009	14285
437	20049	14236
438	20091	14187
439	20134	14139
440	20182	14095
441	20225	14047
442	20263	13996
443	20305	13948
444	20346	13899
445	20388	13851
446	20432	13804
447	20482	13761
448	20525	13714
449	20568	13666
450	20613	13620
451	20661	13576
452	20704	13528
453	20747	13481
454	20792	13434
455	20834	13387
456	20874	13337
457	20915	13289
458	20962	13244
459	21006	13197
460	21047	13149
461	21087	13100
462	21132	13053
463	21181	13009
464	21226	12964
465	21268	12916
466	21316	12872
467	21361	12826
468	21411	12782
469	21456	12736
470	21498	12689
471	21540	12641
472	21582	12593
473	21624	12546
474	21669	12499
475	21712	12452
476	21752	12403
477	21801	12360
478	21841	12311
479	21884	12264
480	21924	12215
481	21970	12170
482	22016	12125
483	22067	12082
